,TOTAL MX
1882,480.21999999999997
1883,232.0
1884,18.35
1885,4060.0
1886,974.4
1888,271.44
1889,0.0
1890,934.0300000000001
1891,45.94
1892,1489.44
1893,3860.19
1894,881.14
1895,1757.4
1896,1410.6999999999998
1897,1740.0
1898,201.84
1899,754.0
1900,331.83
1901,284.65
1902,2088.0
1903,5307.06
1904,4685.0
1905,1840.2
1906,626.4
1907,7403.610000000001
1909,1472.1599999999999
1910,6680.38
1912,-1410.6999999999998
1913,2942.44
1914,232.01
1917,705.3499999999999
1918,-705.3499999999999
1919,0.0
1920,0.0
1921,555.03
1923,21.310000000000002
1924,4085.42
1925,0.0
1926,17.99
1927,144.0
1929,0.0
1930,568.4
1931,504.6
1933,6439.6
1934,6440.299999999999
1935,2837.0
1936,-2837.0
1937,1450.0
1938,2615.8
1939,350.32
1940,243.6
1941,6960.0
1942,1154.2
1943,0.0
1944,278.86
1945,598.25
1946,0.0
1947,1042.49
1948,792.4
1949,730.8
1950,2784.0
1951,3709.33
1952,448.92
1953,0.0
1954,0.0
1955,568.4
1956,504.6
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,1199.0
1963,1498.0
1966,0.0
1967,300.0
1968,0.01
1969,0.01
1970,1669.47
1971,0.0
1972,4062.32
1973,185.6
1974,76.56
1975,549.01
1976,2559.4399999999996
1977,2403.76
1978,114.2
1979,4766.5
1980,580.0
1981,0.0
1982,186.69
1983,2868.6699999999996
1984,6188.6
1985,30.02
1986,7024.08
1989,2900.0
1990,458.2
1991,2387.65
1992,46.19
1993,313.2
1994,300.0
1995,1020.8
1996,236.57
1998,0.0
1999,0.0
2000,0.0
2001,304.38
2002,211.12
2003,0.0
2004,50.0
2005,178.0
2006,4393.15
2007,440.01
2008,0.0
2009,60.87
2010,0.0
2011,0.0
2012,82.0
2013,0.0
2014,328.57
2015,1321.3799999999999
2016,6867.78
2017,180.0
2018,0.0
2019,5175.68
2020,282.0
2021,499.38
2022,827.08
2023,0.0
2024,1508.0
2025,0.0
2026,632.0
2027,185.38
2028,1999.0
2029,0.0
2031,0.0
2032,960.0
2033,322.6
2034,0.0
2036,0.0
2037,2726.0
2038,22.92
2039,103.09
2040,339.3
2041,183.28
2042,1881.87
2043,4724.4800000000005
2044,0.0
2045,399.0
2047,91.78
2048,336.4
2049,7003.61
2050,6291.530000000001
2052,1136.8
2053,7232.6
2054,1958.09
2055,280.56
2056,6420.6
